idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao,anos_experiencia
45,1978-12-24,Roraima,9106.5,Ensino Médio,0,Solteiro,Saúde,21
40,1983-12-17,Distrito Federal,6051.48,Ensino Fundamental,3,Solteiro,Tecnologia,22
43,1981-04-06,Rondônia,6732.19,Ensino Médio,0,Casado,Comércio,12
27,1996-10-17,Minas Gerais,2975.55,Ensino Médio,0,Divorciado,Indústria,3
45,1978-08-02,Paraíba,11210.57,Ensino Superior,1,Solteiro,Comércio,25
22,2001-12-10,Mato Grosso,4559.16,Ensino Superior,0,Casado,Educação,2
39,1984-05-22,Amapá,4054.92,Ensino Fundamental,0,Solteiro,Comércio,5
55,1969-01-28,Tocantins,12509.8,Pós-graduação,1,Casado,Saúde,19
59,1964-08-12,Acre,3654.98,Ensino Fundamental,1,Divorciado,Comércio,12
49,1975-01-10,Rio de Janeiro,8611.1,Ensino Superior,0,Casado,Saúde,13
63,1960-11-07,Rio Grande do Sul,6666.87,Ensino Médio,2,Casado,Comércio,43
19,2005-02-04,Pernambuco,1593.65,Ensino Fundamental,1,Solteiro,Educação,0
20,2003-10-12,Rio Grande do Sul,5069.23,Ensino Médio,0,Solteiro,Saúde,1
56,1967-10-25,Pernambuco,11820.72,Ensino Superior,1,Divorciado,Saúde,24
53,1971-02-25,Pernambuco,14303.7,Ensino Superior,2,Viúvo,Tecnologia,6
61,1963-04-05,Rondônia,4946.28,Ensino Médio,0,Solteiro,Comércio,8
54,1969-09-30,Roraima,5003.55,Ensino Médio,1,Divorciado,Educação,28
43,1980-10-04,Rondônia,5648.23,Ensino Médio,3,Casado,Saúde,5
18,2006-01-05,Espírito Santo,6662.12,Ensino Superior,0,Solteiro,Educação,0
52,1971-06-22,Mato Grosso do Sul,7833.93,Ensino Médio,1,Casado,Indústria,28
79,1944-09-24,Santa Catarina,2999.89,Ensino Fundamental,0,Casado,Indústria,28
42,1981-05-14,Bahia,7863.54,Ensino Superior,4,Casado,Tecnologia,0
31,1992-11-29,Espírito Santo,2540.53,Ensino Fundamental,0,Divorciado,Indústria,11
33,1991-03-28,Maranhão,6179.44,Ensino Médio,1,Casado,Saúde,12
64,1959-08-09,Mato Grosso,7677.11,Ensino Fundamental,0,Solteiro,Indústria,34
22,2002-01-11,Bahia,5261.29,Ensino Médio,2,Casado,Educação,2
63,1961-02-12,Goiás,4388.63,Ensino Fundamental,0,Solteiro,Tecnologia,12
25,1998-09-24,Rio Grande do Sul,7653.98,Ensino Médio,1,Casado,Saúde,5
54,1969-06-29,Acre,3615.51,Ensino Médio,0,Solteiro,Tecnologia,1
27,1996-05-04,Rio Grande do Norte,6736.01,Ensino Médio,3,Casado,Indústria,2
48,1975-12-09,Ceará,8778.35,Ensino Médio,0,Casado,Comércio,20
29,1994-09-23,Bahia,5750.17,Ensino Superior,0,Solteiro,Comércio,9
77,1946-05-13,Tocantins,12245.98,Ensino Médio,0,Solteiro,Saúde,55
47,1976-06-15,Rondônia,7152.08,Ensino Médio,1,Casado,Indústria,7
47,1977-02-26,Rio Grande do Norte,5305.75,Ensino Superior,1,Casado,Indústria,14
43,1980-06-10,Distrito Federal,4721.31,Ensino Médio,1,Casado,Educação,16
31,1993-02-07,Acre,6056.4,Ensino Médio,0,Casado,Comércio,12
18,2005-07-26,Amazonas,2386.9,Ensino Fundamental,1,Casado,Educação,0
20,2003-11-09,Santa Catarina,1700.15,Ensino Fundamental,2,Casado,Comércio,1
36,1987-09-27,Paraná,3861.92,Ensino Fundamental,0,Casado,Comércio,1
47,1976-10-24,Amazonas,6081.45,Ensino Médio,0,Casado,Saúde,15
30,1993-09-26,Amapá,5101.38,Ensino Superior,0,Casado,Saúde,8
29,1994-12-18,Ceará,2443.38,Ensino Médio,0,Casado,Comércio,0
48,1976-03-23,Sergipe,10761.24,Ensino Superior,1,Casado,Comércio,12
46,1978-01-02,Pernambuco,10789.48,Ensino Médio,1,Casado,Saúde,21
44,1979-12-29,Rondônia,6303.77,Ensino Médio,2,Casado,Indústria,3
56,1967-05-13,Amazonas,13937.67,Ensino Médio,0,Casado,Tecnologia,30
34,1989-05-01,Tocantins,11127.47,Ensino Superior,2,Casado,Saúde,6
46,1977-12-24,Distrito Federal,12216.39,Ensino Superior,3,Casado,Saúde,22
35,1988-04-25,Tocantins,8219.17,Ensino Médio,0,Casado,Saúde,9
60,1964-02-02,Minas Gerais,4739.76,Ensino Fundamental,1,Casado,Indústria,36
36,1987-09-05,Mato Grosso do Sul,7769.92,Ensino Médio,2,Casado,Saúde,11
34,1990-01-12,Acre,14499.59,Ensino Superior,0,Solteiro,Saúde,16
21,2003-04-03,Roraima,2913.21,Ensino Fundamental,2,Casado,Tecnologia,2
64,1960-03-12,Rio de Janeiro,4401.9,Ensino Superior,0,Casado,Comércio,0
23,2000-11-24,Piauí,5183.17,Ensino Médio,0,Casado,Indústria,5
58,1965-04-18,Pernambuco,20538.3,Ensino Superior,0,Casado,Saúde,29
24,2000-02-17,Rondônia,4650.45,Ensino Superior,1,Casado,Educação,4
30,1993-05-19,Alagoas,3963.92,Ensino Fundamental,0,Casado,Comércio,3
51,1972-06-27,Maranhão,8590.86,Ensino Superior,0,Solteiro,Comércio,14
34,1989-04-28,Amapá,4162.27,Ensino Médio,3,Solteiro,Saúde,3
18,2005-10-06,Mato Grosso do Sul,4557.42,Ensino Médio,2,Divorciado,Comércio,0
63,1960-11-24,Sergipe,8395.68,Ensino Superior,0,Casado,Comércio,31
20,2003-08-16,Paraná,5629.47,Ensino Médio,1,Casado,Indústria,1
21,2002-11-18,Pará,6410.17,Ensino Médio,0,Casado,Indústria,3
79,1944-10-08,Piauí,4609.63,Ensino Médio,1,Casado,Educação,16
31,1992-10-14,Ceará,2858.06,Ensino Fundamental,3,Solteiro,Tecnologia,5
22,2001-10-28,Rio Grande do Sul,4336.68,Ensino Médio,1,Solteiro,Indústria,0
65,1959-02-11,Ceará,7795.33,Ensino Médio,0,Solteiro,Comércio,1
24,1999-07-11,Mato Grosso,7183.26,Ensino Superior,2,Casado,Saúde,0
52,1971-05-09,Sergipe,11539.21,Ensino Médio,1,Solteiro,Comércio,27
37,1986-04-29,Distrito Federal,3578.94,Ensino Médio,0,Casado,Comércio,14
23,2001-01-23,Amazonas,11301.55,Pós-graduação,0,Casado,Tecnologia,4
43,1980-09-03,Pernambuco,14621.56,Pós-graduação,1,Casado,Comércio,6
40,1983-09-03,Espírito Santo,8943.72,Ensino Médio,0,Solteiro,Comércio,15
18,2005-10-17,Rio de Janeiro,3379.71,Ensino Fundamental,0,Solteiro,Comércio,0
30,1993-09-26,Pernambuco,7044.22,Ensino Médio,1,Casado,Comércio,9
50,1973-07-28,Goiás,2431.25,Ensino Fundamental,0,Casado,Saúde,1
56,1967-08-11,Piauí,16055.04,Pós-graduação,1,Casado,Saúde,33
29,1994-12-03,Santa Catarina,12823.21,Ensino Superior,3,Casado,Tecnologia,10
65,1958-11-12,Paraíba,7668.86,Ensino Superior,0,Casado,Indústria,33
25,1998-12-28,Minas Gerais,3096.79,Ensino Médio,1,Casado,Comércio,2
46,1977-12-19,Sergipe,17877.27,Ensino Superior,1,Divorciado,Tecnologia,23
46,1978-03-11,Amazonas,6958.11,Ensino Médio,3,Solteiro,Educação,12
47,1976-08-27,Alagoas,6181.7,Ensino Médio,2,Casado,Saúde,23
39,1984-06-10,Amazonas,6191.66,Ensino Médio,1,Viúvo,Educação,1
31,1993-03-06,Goiás,9181.32,Ensino Médio,0,Divorciado,Tecnologia,12
53,1970-06-10,Sergipe,9347.17,Ensino Médio,0,Divorciado,Tecnologia,15
47,1976-11-10,São Paulo,4709.05,Ensino Médio,1,Casado,Indústria,11
31,1992-07-16,Minas Gerais,6317.55,Ensino Superior,0,Solteiro,Tecnologia,9
26,1998-01-25,Piauí,9365.53,Ensino Superior,4,Casado,Indústria,2
48,1975-06-21,Sergipe,10701.87,Ensino Superior,1,Casado,Tecnologia,16
28,1995-05-07,Maranhão,4655.06,Ensino Médio,1,Casado,Comércio,3
37,1986-12-20,Paraná,3529.75,Ensino Médio,1,Casado,Saúde,2
20,2003-06-15,Amapá,1577.65,Ensino Fundamental,0,Casado,Educação,2
34,1990-03-14,Minas Gerais,11255.37,Ensino Médio,2,Solteiro,Tecnologia,16
31,1993-02-20,Amazonas,10630.62,Ensino Superior,0,Casado,Comércio,8
24,1999-05-01,Goiás,4046.64,Ensino Médio,0,Casado,Educação,4
57,1966-05-16,Maranhão,10236.07,Ensino Médio,3,Divorciado,Saúde,32
30,1994-03-21,Roraima,2087.78,Ensino Fundamental,0,Casado,Educação,0
52,1972-02-03,Rio Grande do Norte,5300.92,Ensino Médio,4,Solteiro,Educação,7
19,2004-11-08,Alagoas,2850.48,Ensino Fundamental,1,Casado,Tecnologia,0
54,1969-06-26,Maranhão,16866.83,Ensino Superior,0,Solteiro,Comércio,30
39,1984-05-11,Maranhão,7552.46,Ensino Médio,1,Casado,Indústria,4
23,2001-03-31,Espírito Santo,3104.81,Ensino Médio,0,Casado,Comércio,3
47,1976-12-12,Santa Catarina,4280.54,Ensino Médio,0,Solteiro,Tecnologia,12
40,1983-09-15,Rondônia,4179.46,Ensino Fundamental,1,Casado,Tecnologia,1
32,1992-04-03,Rio Grande do Norte,7044.61,Ensino Médio,0,Solteiro,Indústria,2
33,1991-02-10,Mato Grosso,7076.26,Ensino Médio,2,Divorciado,Saúde,4
34,1989-12-13,Tocantins,2862.46,Ensino Fundamental,0,Solteiro,Indústria,9
20,2004-04-08,Rio de Janeiro,2250.39,Ensino Fundamental,0,Solteiro,Saúde,2
23,2000-11-02,Pará,4112.94,Ensino Fundamental,3,Casado,Saúde,5
58,1965-07-23,Mato Grosso,12102.74,Ensino Superior,1,Casado,Educação,16
31,1992-09-01,Roraima,4600.74,Ensino Médio,0,Casado,Educação,6
43,1980-12-20,Santa Catarina,5410.0,Ensino Médio,1,Casado,Indústria,0
23,2000-04-18,Piauí,2436.39,Ensino Fundamental,0,Casado,Educação,3
24,2000-02-20,Maranhão,1688.33,Ensino Fundamental,1,Divorciado,Educação,2
18,2005-11-26,Paraná,4458.81,Ensino Superior,1,Casado,Educação,0
48,1975-07-21,Goiás,6116.88,Ensino Médio,0,Casado,Saúde,24
21,2003-04-11,Rondônia,6802.31,Ensino Médio,0,Casado,Tecnologia,1
48,1976-02-26,Acre,3908.1,Ensino Médio,3,Divorciado,Comércio,3
82,1941-07-04,Paraná,4372.02,Ensino Médio,1,Divorciado,Indústria,5
54,1969-11-24,Pernambuco,5877.38,Ensino Fundamental,0,Casado,Saúde,20
39,1984-08-09,Distrito Federal,3001.45,Ensino Fundamental,0,Casado,Indústria,16
49,1974-04-21,Acre,17080.77,Ensino Superior,0,Viúvo,Saúde,25
62,1962-01-17,Bahia,22723.87,Pós-graduação,1,Solteiro,Saúde,25
24,1999-09-24,Minas Gerais,4600.44,Ensino Médio,2,Casado,Educação,6
50,1973-09-07,Ceará,5919.06,Ensino Fundamental,3,Casado,Tecnologia,32
68,1956-01-12,Acre,8226.63,Ensino Médio,0,Solteiro,Saúde,40
49,1974-11-07,Rio de Janeiro,9879.24,Ensino Médio,3,Solteiro,Tecnologia,2
48,1976-03-02,Santa Catarina,11552.93,Ensino Médio,0,Divorciado,Saúde,28
54,1969-09-16,Paraná,5273.75,Ensino Médio,2,Casado,Saúde,2
22,2001-09-23,Rondônia,7947.42,Ensino Superior,1,Casado,Saúde,1
53,1971-01-14,Pernambuco,10567.52,Ensino Superior,0,Casado,Saúde,1
25,1998-05-04,São Paulo,3366.68,Ensino Médio,2,Casado,Saúde,1
27,1996-07-04,Piauí,2890.9,Ensino Médio,1,Casado,Indústria,8
44,1979-08-05,Goiás,3328.35,Ensino Médio,0,Solteiro,Saúde,8
28,1995-11-10,Rondônia,4141.99,Ensino Fundamental,4,Casado,Comércio,3
53,1970-11-22,Mato Grosso do Sul,5328.74,Ensino Médio,1,Casado,Educação,30
28,1995-06-28,Distrito Federal,7515.56,Ensino Médio,1,Solteiro,Tecnologia,9
55,1968-08-23,Alagoas,3559.5,Ensino Fundamental,0,Casado,Educação,14
27,1996-10-30,Mato Grosso,5290.65,Ensino Médio,0,Casado,Educação,8
24,2000-02-18,Espírito Santo,11576.19,Ensino Superior,0,Casado,Saúde,6
41,1982-12-18,Rondônia,7211.05,Ensino Médio,1,Solteiro,Tecnologia,1
27,1996-08-17,Piauí,4641.33,Ensino Fundamental,0,Divorciado,Saúde,8
58,1965-12-10,Distrito Federal,11024.1,Ensino Médio,0,Casado,Saúde,25
29,1995-02-27,Amapá,1622.01,Ensino Fundamental,0,Solteiro,Educação,1
21,2002-04-23,Paraíba,4249.77,Ensino Superior,2,Casado,Educação,0
22,2002-02-09,Maranhão,4717.64,Ensino Médio,2,Casado,Indústria,2
37,1987-02-13,Roraima,4854.06,Ensino Médio,1,Solteiro,Comércio,1
23,2000-04-26,Alagoas,3346.05,Ensino Fundamental,4,Casado,Educação,2
39,1984-08-15,Distrito Federal,8933.86,Ensino Médio,3,Divorciado,Tecnologia,8
55,1968-06-11,Amazonas,8467.03,Ensino Médio,1,Casado,Tecnologia,16
38,1985-12-07,Espírito Santo,2572.05,Ensino Fundamental,0,Casado,Comércio,13
49,1975-01-01,Goiás,5140.76,Ensino Médio,1,Casado,Comércio,0
46,1978-01-09,Acre,10092.79,Ensino Superior,5,Solteiro,Indústria,22
58,1966-02-22,Tocantins,6074.02,Ensino Médio,0,Solteiro,Educação,37
30,1993-08-19,Santa Catarina,6463.25,Ensino Médio,1,Solteiro,Indústria,0
57,1966-05-11,Bahia,11597.37,Ensino Médio,2,Viúvo,Saúde,31
48,1975-05-11,Amazonas,9033.76,Ensino Médio,0,Solteiro,Indústria,13
41,1982-05-22,Paraná,4647.58,Ensino Médio,1,Solteiro,Educação,2
36,1987-11-18,Pará,3020.45,Ensino Fundamental,1,Divorciado,Indústria,14
39,1985-03-21,Tocantins,5991.79,Ensino Fundamental,1,Casado,Indústria,19
73,1950-08-27,Rio Grande do Norte,3273.41,Ensino Médio,1,Divorciado,Educação,18
42,1981-06-28,São Paulo,10692.23,Ensino Superior,1,Casado,Comércio,17
64,1959-11-18,Tocantins,6614.18,Ensino Médio,0,Solteiro,Comércio,24
19,2005-01-13,Distrito Federal,3861.39,Ensino Médio,0,Casado,Indústria,0
30,1994-03-09,Mato Grosso,8576.27,Ensino Superior,3,Casado,Comércio,9
27,1997-02-18,Paraíba,3161.43,Ensino Médio,0,Casado,Educação,5
24,1999-12-28,Pará,7933.51,Ensino Superior,0,Casado,Tecnologia,0
44,1979-07-13,Paraíba,4506.34,Ensino Médio,1,Divorciado,Comércio,16
25,1998-05-30,Santa Catarina,12669.21,Pós-graduação,5,Solteiro,Saúde,4
24,1999-10-24,Roraima,2908.89,Ensino Fundamental,1,Casado,Comércio,6
64,1959-11-09,Rondônia,13497.12,Ensino Superior,1,Divorciado,Saúde,38
58,1965-05-11,Ceará,10228.03,Ensino Médio,4,Casado,Tecnologia,17
82,1942-03-06,Ceará,6292.86,Ensino Fundamental,0,Solteiro,Tecnologia,59
37,1986-07-12,Acre,5506.88,Ensino Fundamental,2,Divorciado,Comércio,17
57,1966-11-12,Mato Grosso do Sul,5278.49,Ensino Médio,0,Solteiro,Educação,8
29,1994-08-21,Bahia,6294.38,Pós-graduação,3,Casado,Educação,5
23,2000-04-27,Amazonas,3252.11,Ensino Médio,0,Casado,Saúde,4
62,1962-01-21,Paraíba,6297.94,Ensino Médio,2,Casado,Indústria,12
43,1980-09-19,Amapá,7872.74,Ensino Médio,0,Casado,Tecnologia,15
27,1997-03-08,Rio Grande do Norte,8061.9,Ensino Superior,0,Casado,Educação,2
46,1977-11-20,Minas Gerais,5608.86,Ensino Fundamental,1,Casado,Comércio,20
59,1965-01-18,Rio Grande do Sul,12570.16,Ensino Médio,2,Casado,Indústria,34
38,1986-03-21,Paraná,5056.91,Ensino Fundamental,1,Casado,Educação,15
60,1963-06-17,Santa Catarina,11366.2,Ensino Médio,2,Casado,Tecnologia,22
28,1995-11-24,Amazonas,4526.72,Ensino Superior,2,Casado,Indústria,5
47,1977-02-13,Rio de Janeiro,4512.87,Ensino Médio,0,Casado,Tecnologia,14
32,1992-03-08,Amapá,3301.54,Ensino Médio,1,Solteiro,Indústria,12
29,1994-09-30,Paraná,6339.02,Ensino Médio,2,Casado,Indústria,8
49,1975-03-06,Pará,9258.55,Ensino Superior,0,Casado,Comércio,22
29,1994-11-29,Santa Catarina,6184.25,Ensino Superior,0,Solteiro,Tecnologia,7
37,1986-07-10,Tocantins,3750.12,Ensino Médio,1,Viúvo,Saúde,9
29,1994-11-08,Pará,6175.1,Ensino Superior,0,Casado,Educação,4
28,1995-09-06,Santa Catarina,4219.65,Ensino Fundamental,0,Divorciado,Tecnologia,3
62,1961-12-12,Minas Gerais,16177.35,Pós-graduação,2,Casado,Tecnologia,7
29,1994-04-17,Rio Grande do Norte,5774.08,Ensino Médio,1,Casado,Indústria,3
40,1983-12-08,Minas Gerais,2053.74,Ensino Fundamental,2,Casado,Saúde,4
40,1984-01-30,Espírito Santo,7137.4,Ensino Médio,1,Casado,Saúde,13
29,1995-02-16,Mato Grosso do Sul,5311.03,Ensino Médio,2,Solteiro,Tecnologia,4
25,1998-12-08,Piauí,2342.22,Ensino Médio,2,Casado,Educação,5
34,1990-03-27,Paraíba,6652.8,Ensino Médio,1,Casado,Comércio,14
35,1988-12-30,Minas Gerais,10370.07,Pós-graduação,3,Solteiro,Saúde,1
63,1960-06-05,Rondônia,7950.42,Ensino Médio,0,Solteiro,Indústria,1
34,1989-08-06,Rio Grande do Norte,5346.57,Ensino Médio,1,Casado,Tecnologia,16
18,2005-11-18,Goiás,5029.46,Ensino Médio,1,Casado,Educação,0
22,2001-08-29,Pará,5598.33,Ensino Médio,0,Divorciado,Saúde,4
46,1978-01-31,Rio Grande do Sul,8339.84,Ensino Médio,3,Casado,Tecnologia,12
43,1980-09-23,Santa Catarina,7961.51,Ensino Médio,1,Casado,Tecnologia,0
21,2002-04-13,Maranhão,3880.5,Ensino Fundamental,1,Divorciado,Indústria,3
23,2000-10-19,Mato Grosso do Sul,2698.56,Ensino Fundamental,0,Casado,Indústria,3
35,1988-12-25,Rondônia,6410.79,Ensino Superior,1,Casado,Comércio,7
29,1995-03-04,Pernambuco,2229.1,Ensino Fundamental,0,Casado,Educação,4
46,1977-09-27,Pernambuco,20522.57,Pós-graduação,2,Solteiro,Saúde,14
22,2001-09-29,Ceará,3494.66,Ensino Médio,1,Casado,Indústria,4
45,1978-04-13,Rio de Janeiro,3141.15,Ensino Médio,1,Divorciado,Educação,14
43,1980-08-23,Ceará,3922.83,Ensino Médio,0,Casado,Educação,5
36,1987-08-14,Bahia,3147.37,Ensino Médio,1,Casado,Indústria,9
18,2006-03-26,Maranhão,11196.44,Ensino Superior,1,Casado,Tecnologia,0
25,1998-10-31,Rio Grande do Sul,3106.34,Ensino Médio,0,Casado,Comércio,0
24,1999-11-01,Mato Grosso,3892.44,Ensino Fundamental,1,Casado,Educação,6
59,1965-01-26,Santa Catarina,10750.77,Ensino Superior,0,Casado,Educação,41
48,1975-05-14,Goiás,2155.99,Ensino Fundamental,1,Viúvo,Comércio,5
32,1991-11-26,Rondônia,4764.25,Ensino Fundamental,0,Viúvo,Saúde,13
45,1978-06-11,Maranhão,7378.17,Ensino Médio,1,Casado,Saúde,11
22,2001-05-05,Distrito Federal,2440.31,Ensino Fundamental,2,Casado,Comércio,3
73,1951-01-17,Mato Grosso,8561.85,Ensino Médio,0,Solteiro,Tecnologia,53
30,1993-05-02,Bahia,7874.45,Ensino Médio,2,Casado,Indústria,7
57,1967-03-29,Mato Grosso do Sul,3777.83,Ensino Fundamental,0,Casado,Indústria,23
23,2000-08-04,Goiás,10281.13,Pós-graduação,0,Solteiro,Indústria,2
32,1991-08-16,Ceará,5342.0,Ensino Médio,2,Casado,Saúde,9
58,1965-06-29,Rio Grande do Norte,8660.96,Ensino Médio,3,Solteiro,Indústria,24
45,1979-02-12,Mato Grosso,14945.18,Ensino Médio,0,Solteiro,Tecnologia,27
47,1976-06-14,Santa Catarina,11114.65,Ensino Superior,0,Solteiro,Tecnologia,25
64,1959-08-25,Goiás,18940.93,Ensino Superior,0,Casado,Tecnologia,17
22,2001-11-18,Alagoas,6437.54,Ensino Médio,0,Casado,Indústria,1
41,1982-06-27,Mato Grosso,1936.53,Ensino Fundamental,1,Solteiro,Comércio,0
26,1998-04-01,Amapá,3359.49,Ensino Superior,4,Solteiro,Comércio,2
22,2002-03-16,Roraima,5012.02,Ensino Fundamental,2,Solteiro,Tecnologia,3
31,1992-09-18,Goiás,4730.76,Ensino Médio,0,Casado,Tecnologia,10
36,1987-07-26,Amapá,3858.2,Ensino Médio,1,Casado,Comércio,9
22,2002-03-12,Piauí,3316.72,Ensino Médio,0,Casado,Educação,1
21,2003-01-19,Pará,2319.74,Ensino Fundamental,0,Casado,Educação,2
50,1973-04-29,Mato Grosso do Sul,11498.57,Ensino Superior,2,Casado,Saúde,9
27,1996-10-14,Ceará,6340.9,Ensino Médio,2,Casado,Saúde,2
36,1988-02-23,Mato Grosso do Sul,7064.27,Ensino Superior,0,Casado,Saúde,0
21,2002-05-14,Rio Grande do Sul,4461.93,Ensino Superior,1,Solteiro,Saúde,0
